pdbid,binding_affinity
802,6gnm,4.26
803,1m5w,4.27
804,4qfo,4.27
805,5mgf,4.27
806,6hh5,4.27
807,2vzr,4.28
808,3f5j,4.28
809,3gta,4.28
810,3jrs,4.28
811,4ufj,4.28
812,5f2r,4.28
813,5l4j,4.28
814,1e2l,4.29
815,1v2l,4.29
816,2wuf,4.29
817,4i3z,4.29
818,5mgj,4.29
819,1a30,4.3
820,1amk,4.3
821,1det,4.3
822,1w3k,4.3
823,2cli,4.3
824,3ivg,4.3
825,3t0b,4.3
826,3upk,4.3
827,4eoh,4.3
828,4ibk,4.3
829,4k7o,4.3
830,4o61,4.3
831,4zme,4.3
832,5ewy,4.3
833,5jgi,4.3
834,6fuj,4.3
835,6q4g,4.3
836,1ajq,4.31
837,2tpi,4.31
838,4kow,4.31
839,6ajr,4.31
840,6f20,4.31
841,6ior,4.31
842,2ha6,4.32
843,2qtt,4.32
844,4q7p,4.32
845,4rsk,4.32
846,4u43,4.32
847,4ucc,4.32
848,5m28,4.32
849,6jad,4.32
850,1olx,4.33
851,4ibj,4.33
852,4zcs,4.33
853,6czb,4.33
854,6exj,4.33
855,6g29,4.33
856,1e3v,4.34
857,1z6s,4.34
858,5n3v,4.34
859,6ajz,4.34
860,1ghv,4.35
861,1sv3,4.35
862,1yfz,4.35
863,4owv,4.35
864,5ka7,4.35
865,6d1a,4.35
866,6r1a,4.35
867,1dy4,4.36
868,2ez7,4.36
869,4nbn,4.36
870,1td7,4.37
871,4gu9,4.37
872,5oh7,4.37
873,6qi4,4.37
874,1bhf,4.38
875,3b24,4.38
876,3u9q,4.38
877,6hgj,4.38
878,6mla,4.38
879,6o5u,4.38
880,2avq,4.39
881,2hjb,4.39
882,3djo,4.39
883,4zt8,4.39
884,5orh,4.39
885,5zni,4.39
886,1p57,4.4
887,2pwd,4.4
888,3wgg,4.4
889,4abd,4.4
890,4dy6,4.4
891,4omk,4.4
892,4pp0,4.4
893,5uv2,4.4
894,1no6,4.41
895,1olu,4.41
896,2csn,4.41
897,3rsx,4.41
898,3uxd,4.41
899,4exs,4.41
900,4ou3,4.41
901,5e74,4.41
902,5ka9,4.41
903,1tjp,4.42
904,3dri,4.42
905,4cc5,4.42
906,4ek9,4.42
907,4q7s,4.42
908,6h8s,4.42
909,2pu2,4.43
910,2we3,4.43
911,2wyf,4.43
912,3kqr,4.43
913,4axd,4.43
914,4dsy,4.43
915,4ibf,4.43
916,4jpy,4.43
917,4kcx,4.43
918,4qf9,4.43
919,4ykj,4.43
920,4zw5,4.43
921,5f2p,4.43
922,5g4o,4.43
923,5h5f,4.43
924,5kad,4.43
925,2amt,4.44
926,3u81,4.44
927,5azf,4.44
928,5d6j,4.44
929,6np4,4.44
930,6ppy,4.44
931,2wbg,4.45
932,6q3q,4.45
933,4gki,4.46
934,4i8n,4.46
935,5c3p,4.46
936,5dpx,4.46
937,5jox,4.46
938,6fui,4.46
939,2r2w,4.47
940,3hl5,4.47
941,4cu8,4.47
942,6d1d,4.47
943,6d1g,4.47
944,6f05,4.47
945,1jaq,4.48
946,1qan,4.48
947,2ogy,4.48
948,3p17,4.48
949,3t01,4.48
950,4dhl,4.48
951,4oks,4.48
952,5ka1,4.48
953,5ovv,4.48
954,5tya,4.48
955,6d15,4.48
956,1hi4,4.49
957,1j14,4.49
958,1o7o,4.49
959,3hl8,4.49
960,3kmy,4.49
961,4cwf,4.49
962,5isz,4.49
963,5t19,4.49
964,6b7a,4.49
965,3sw8,4.5
966,5ovx,4.5
967,5yl2,4.5
968,6jag,4.5
969,1gi7,4.51
970,2r1y,4.51
971,3aas,4.51
972,3uug,4.51
973,4abb,4.51
974,4g90,4.51
975,6nu1,4.51
976,6qlq,4.51
977,1ctt,4.52
978,1mrn,4.52
979,1z4o,4.52
980,2a4m,4.52
981,2ra6,4.52
982,2wm0,4.52
983,3bzf,4.52
984,3gy7,4.52
985,3r6u,4.52
986,4gzw,4.52
987,4trc,4.52
988,5o1f,4.52
989,5vh0,4.52
990,6nco,4.52
991,6p88,4.52
992,3h30,4.53
993,6i11,4.53
994,1amw,4.54
995,1b2h,4.54
996,1lyx,4.54
997,1szd,4.54
998,2zz1,4.54
999,2zz2,4.54
1000,3iub,4.54
1001,4b76,4.54
1002,5etb,4.54
1003,5u0d,4.54
1004,6p5o,4.54
1005,6pga,4.54
1006,6pid,4.54
1007,3b2q,4.55
1008,3djv,4.55
1009,3p8p,4.55
1010,3ppq,4.55
1011,3rr4,4.55
1012,3suv,4.55
1013,4myd,4.55
1014,5c2o,4.55
1015,5oh4,4.55
1016,5oss,4.55
1017,6edr,4.55
1018,6gnp,4.55
1019,4x3k,4.56
1020,5ost,4.56
1021,4fp1,4.57
1022,4or4,4.57
1023,4yrd,4.57
1024,5ko5,4.57
1025,5ovr,4.57
1026,6np5,4.57
1027,4bi7,4.58
1028,5j7q,4.58
1029,5u0g,4.58
1030,1bma,4.59
1031,2ihj,4.59
1032,2jiw,4.59
1033,3hp9,4.59
1034,3ujc,4.59
1035,4c6u,4.59
1036,4g8y,4.59
1037,5k9w,4.59
1038,6fnq,4.59
1039,1pa9,4.6
1040,1tx7,4.6
1041,1u33,4.6
1042,1upf,4.6
1043,2pyy,4.6
1044,2v54,4.6
1045,2vb8,4.6
1046,2vba,4.6
1047,2wlz,4.6
1048,2x0y,4.6
1049,3d7k,4.6
1050,3vhk,4.6
1051,4bc5,4.6
1052,4jal,4.6
1053,4p58,4.6
1054,6n5x,4.6
1055,6p87,4.6
1056,6pgb,4.6
1057,6qe0,4.6
1058,2bo4,4.61
1059,3lgs,4.61
1060,4io4,4.61
1061,4ocq,4.61
1062,5ulp,4.61
1063,6eq1,4.61
1064,1f4f,4.62
1065,2a5c,4.62
1066,2f6t,4.62
1067,2xm2,4.62
1068,3f5k,4.62
1069,3tk2,4.62
1070,3u90,4.62
1071,3umq,4.62
1072,4abf,4.62
1073,4ad3,4.62
1074,4ynl,4.62
1075,5jgq,4.62
1076,6f1j,4.62
1077,3uj9,4.63
1078,4hzm,4.63
1079,5ji8,4.63
1080,5n34,4.63
1081,4psb,4.64
1082,5e73,4.64
1083,5jhk,4.64
1084,6qlu,4.64
1085,3qtv,4.65
1086,4q93,4.65
1087,4w9c,4.65
1088,6b98,4.65
1089,1bzj,4.66
1090,1h4w,4.66
1091,1m1b,4.66
1092,2ca8,4.66
1093,2ha2,4.66
1094,3ddf,4.66
1095,3mss,4.66
1096,4tt2,4.66
1097,5j1r,4.66
1098,5o1d,4.66
1099,6ezq,4.66
1100,6g2c,4.66
1101,6ooy,4.66
1102,6pg7,4.66
1103,6qln,4.66
1104,3vw1,4.67
1105,4gkh,4.67
1106,4nku,4.67
1107,5jsq,4.67
1108,1c5p,4.68
1109,1wn6,4.68
1110,2nsl,4.68
1111,2uy4,4.68
1112,2ypo,4.68
1113,3g35,4.68
1114,4lar,4.68
1115,4ymg,4.68
1116,5a5q,4.68
1117,5aoj,4.68
1118,5eq1,4.68
1119,5fe9,4.68
1120,5k1d,4.68
1121,5kab,4.68
1122,6bm6,4.68
1123,6ift,4.68
1124,2rio,4.69
1125,3ujd,4.69
1126,4agp,4.69
1127,4mgd,4.69
1128,4tpw,4.69
1129,6mg5,4.69
1130,1c5n,4.7
1131,1c86,4.7
1132,2cex,4.7
1133,2dw7,4.7
1134,2fu8,4.7
1135,2i2c,4.7
1136,3kiv,4.7
1137,3nkk,4.7
1138,3suw,4.7
1139,4j7d,4.7
1140,4j93,4.7
1141,4luz,4.7
1142,4lzr,4.7
1143,5h85,4.7
1144,5wbm,4.7
1145,6fba,4.7
1146,6gj6,4.7
1147,6jbe,4.7
1148,6p86,4.7
1149,6r13,4.7
1150,1v2t,4.71
1151,4ljh,4.71
1152,4yb5,4.71
1153,5his,4.71
1154,5kma,4.71
1155,5otc,4.71
1156,6evn,4.71
1157,6ueg,4.71
1158,184l,4.72
1159,1vso,4.72
1160,3ebo,4.72
1161,3f6g,4.72
1162,4zw7,4.72
1163,5hjq,4.72
1164,6qqw,4.72
1165,1v2o,4.73
1166,4ayu,4.73
1167,5gmn,4.73
1168,1bty,4.74
1169,1w4p,4.74
1170,2e2p,4.74
1171,4ih6,4.74
1172,4jxs,4.74
1173,4kyk,4.74
1174,5k03,4.74
1175,5ov8,4.74
1176,6eq5,4.74
1177,6szp,4.74
1178,6t1j,4.74
1179,3nim,4.75
1180,3vw2,4.75
1181,1q8t,4.76
1182,3acw,4.76
1183,3o5n,4.76
1184,4wop,4.76
1185,5lne,4.76
1186,1str,4.77
1187,2afw,4.77
1188,2b4l,4.77
1189,3d50,4.77
1190,3iqu,4.77
1191,3rm9,4.77
1192,4kax,4.77
1193,4uoh,4.77
1194,5iyy,4.77
1195,5mkr,4.77
1196,5mks,4.77
1197,5o5a,4.77
1198,5orj,4.77
1199,6fgg,4.77
1200,6mkw,4.77
1201,6t1l,4.77
1202,4ad6,4.78
1203,6czc,4.78
1204,1oss,4.79
1205,2nsj,4.79
1206,3eb1,4.79
1207,5k1f,4.79
1208,1bju,4.8
1209,1ghz,4.8
1210,2nta,4.8
1211,3bpc,4.8
1212,3dnd,4.8
1213,4aq6,4.8
1214,4llp,4.8
1215,4lzs,4.8
1216,4pb2,4.8
1217,5j3l,4.8
1218,5jzi,4.8
1219,6jap,4.8
1220,4ago,4.81
1221,6p84,4.81
1222,1aid,4.82
1223,1dud,4.82
1224,1f8e,4.82
1225,1v1j,4.82
1226,1xff,4.82
1227,1y3p,4.82
1228,2gl0,4.82
1229,2gzl,4.82
1230,2pwg,4.82
1231,2ypi,4.82
1232,3kmx,4.82
1233,3r88,4.82
1234,3vd4,4.82
1235,4ciw,4.82
1236,4fys,4.82
1237,4ih3,4.82
1238,4io6,4.82
1239,4kwf,4.82
1240,4rlu,4.82
1241,5ewa,4.82
1242,6aox,4.82
1243,6d17,4.82
1244,6h2t,4.82
1245,6qlr,4.82
1246,5efa,4.83
1247,3vvy,4.84
1248,4kif,4.84
1249,4uof,4.84
1250,5d1r,4.84
1251,6jfk,4.84
1252,186l,4.85
1253,1c83,4.85
1254,1ecv,4.85
1255,1n51,4.85
1256,1qji,4.85
1257,1xgi,4.85
1258,2qwd,4.85
1259,2r9x,4.85
1260,2w4x,4.85
1261,3cj2,4.85
1262,3f70,4.85
1263,3ohi,4.85
1264,3ru1,4.85
1265,3zyf,4.85
1266,4hpi,4.85
1267,4iic,4.85
1268,4j7e,4.85
1269,4ovh,4.85
1270,4q87,4.85
1271,5efc,4.85
1272,5ewk,4.85
1273,5jsg,4.85
1274,5o1h,4.85
1275,6gga,4.85
1276,2brb,4.86
1277,5yfs,4.86
1278,6jao,4.86
1279,4ipj,4.87
1280,4q0k,4.87
1281,4rlw,4.87
1282,4rra,4.87
1283,3exh,4.88
